tff_input,tff_permeate,tff_retentate,cc700_input,cc700_ft
127.1,165.7,159.2,130.6,168.5
106.0,161.1,150.6,124.3,141.3
114.0,148.8,169.2,125.6,163.4
124.2,141.8,151.2,126.2,143.5
122.1,131.0,157.9,122.0,141.0
123.1,154.6,144.3,123.4,132.3
125.7,161.7,136.8,123.0,141.8
130.9,155.0,141.1,118.6,146.9
123.0,138.8,144.4,118.7,140.0
122.5,159.2,137.9,116.4,126.2
128.9,160.5,146.6,112.4,118.6
173.0,177.5,159.2,126.8,165.0
124.8,153.3,150.0,115.2,154.6
140.0,165.8,157.5,130.0,155.5
120.0,150.6,143.6,127.1,169.4
126.9,162.5,156.6,119.0,168.9
127.5,149.4,146.4,118.6,145.6
140.7,141.7,153.2,120.2,155.7
125.8,162.5,142.9,117.8,121.6
120.7,148.8,159.0,121.8,142.9
129.7,159.2,151.6,115.2,126.4
148.7,159.6,136.7,123.8,136.8
149.2,178.9,162.0,117.7,141.3
126.9,173.3,157.5,121.7,138.1
139.5,157.5,164.3,124.3,169.2
138.1,160.5,151.1,120.9,160.6
147.5,142.8,151.2,121.0,160.0
141.3,165.8,144.0,117.5,145.0
141.6,153.2,153.1,125.9,174.4
141.3,131.2,154.6,118.5,134.4
126.4,158.2,145.8,115.9,139.0
130.2,155.6,162.5,115.7,134.0
132.7,159.5,143.8,117.6,130.6